AR,BD,BR,CHN,CO,CR,EG,IN,ID,JO,KE,MY,MX,MR,NE,PK,PE,PH,RU,ZA,LK,TH,TR,VE,VN,ZW
3492.691474,241.7949085,,301.7332495,1188.551777,1549.941803,765.6057309,342.0719237,440.3723781,2241.093047,381.7059903,2007.17292,1902.461534,928.4981079,598.2909687,319.9153919,1767.347081,658.2142903,,2672.689538,403.8261309,962.9617992,1701.264841,2620.434204,585.3049372,726.6207297
4005.201258,258.8305348,,370.2192845,1254.531546,1537.461223,644.2196325,355.7384098,479.8107166,1988.311656,386.3559486,2134.519145,2302.021954,1076.092773,549.5037556,356.3352154,730.2097626,734.4302796,3778.019775,2780.586207,416.0296538,1154.580403,1738.376445,3203.401445,397.0143602,816.6994731
2382.335862,274.3894278,2875.577715,407.8926582,1238.603367,1705.431654,712.914876,347.46203,527.8114772,1274.972009,369.9833572,2282.469971,2759.475919,1081.965332,474.4569001,359.7292686,1040.475164,806.8504494,3429.649902,2794.396212,411.2437445,1329.996738,2009.69367,2258.679615,96.13036189,841.5632256
4330.968191,294.9046524,3065.242357,347.5783659,1467.547436,1808.495959,751.1874902,368.7497594,582.6789677,1195.225836,370.1001417,2513.241395,3196.920061,1219.424438,567.5179022,346.6685155,1194.548315,820.4871803,3494.062988,3160.878161,466.8976566,1545.276982,2773.269759,2461.039355,96.71929574,868.4901749
5730.72381,283.3822853,2656.497207,359.2132687,1491.856728,2221.474653,637.8975973,303.850438,629.1606798,1184.947654,340.8064509,2727.528585,3756.852597,1282.57959,609.3731283,382.7514315,1520.677362,821.4522444,3490.452393,3304.828377,516.7693263,1751.068652,2730.143381,2642.780541,140.6310045,832.6879695
6815.32933,284.9669776,2505.377758,423.3044301,1720.568558,2578.025038,697.7260405,317.5587387,678.977737,1373.413082,332.9499104,3193.635381,4272.788726,1317.329956,519.6358475,399.4655807,1560.546504,936.148564,3098.802734,3519.001296,550.5424443,1957.405423,2825.915037,2918.607446,141.3836852,634.4473585
6957.417499,292.4253474,2766.345596,525.3656924,1920.398966,2814.044541,758.8296192,301.5007912,824.079149,1375.547529,226.5211543,3511.532629,6118.525863,1217.429077,551.8929192,412.6753983,1481.340989,938.7622808,2930.670166,3461.333911,579.990197,2230.84118,3148.83644,2835.687569,185.187122,608.0466105
7464.474737,292.0788195,3393.142926,473.4899164,2314.90099,3005.540317,826.7189671,346.2273931,907.4717857,1457.703132,273.5217948,3802.107621,6268.718323,1348.539063,762.3987332,404.6068674,1871.392109,1081.434307,2662.104004,3547.951748,650.5535615,2502.708649,2240.60879,2699.464788,224.6370945,634.5826172
7383.70451,322.0873898,4704.959837,609.6043379,2571.46819,3240.711145,937.5431501,373.6282357,1020.146681,1509.040549,336.5653496,4405.116764,4225.400448,1455.950317,1302.550052,455.5079732,2180.566639,1222.292515,2665.779785,3904.324238,716.8007675,2848.622456,2855.040554,3500.632677,281.1336045,646.8295598
7690.157003,387.3848632,5121.905407,709.4158882,2652.103881,3194.112988,1031.488078,399.5773122,1129.09271,1503.143967,436.1957036,4874.819725,4718.574086,1585.722778,1673.906146,461.4002095,2218.321747,1334.105656,2643.929199,3654.927598,758.5064169,3039.892139,3009.670164,3125.237788,329.00119,765.1651241
8176.771195,395.3180524,5240.127176,781.7425612,2860.04094,3373.410585,1170.804798,414.8986797,1054.347358,1530.703844,462.4045369,4706.314913,5617.430244,1416.900391,1765.078768,441.7549177,2292.396517,1294.111972,2737.572021,3731.431561,818.0287965,2462.41438,3098.668013,3725.988118,352.9344398,750.6839091
8250.673174,401.9651801,5049.764669,828.594691,2595.543011,3580.933885,1239.353562,412.5093541,459.1918631,1633.280882,483.7086323,3308.835653,5882.421434,1658.471802,1871.756057,427.5063275,2149.701063,1000.00669,1834.861816,3336.439647,850.9856552,1841.042955,4433.358285,3886.039254,352.783068,554.3614836
7735.32208,404.4861431,3456.423303,873.297611,2236.072926,3653.754208,1297.57469,440.9614546,663.5232299,1646.192662,430.3672599,3538.362993,6552.661075,1627.135132,494.1292273,420.6826106,1911.735017,1123.163571,1330.757202,3267.939169,838.5636427,2028.568771,4057.821274,4087.829348,367.1568837,585.3317992
7666.517834,413.1001853,3726.811669,959.3604313,2546.850214,3773.033793,1398.859831,442.0347789,770.8653516,1673.358125,411.8213521,4087.562593,7581.845641,1492.377075,563.0470862,644.457157,1941.31826,1073.264436,1771.594116,3241.661396,869.7534886,2004.107059,4278.263113,4795.634748,394.5831366,565.2843897
7168.975872,410.0485409,3142.23514,1053.112314,2465.007012,3941.598643,1327.096518,449.9111249,739.0039465,1738.383838,408.3606087,3941.122666,8009.15834,1500.363403,583.0858388,610.1432316,1925.97942,991.1479821,2100.352539,2867.472497,832.4273196,1889.971411,3100.458999,4940.113903,409.4977339,569.0032086
2579.488769,407.9629676,2824.715413,1148.514257,2421.162104,4021.425361,1144.532398,468.8444283,888.9013897,1816.406493,401.0923701,4177.104942,8032.992121,1590.487305,733.5378887,599.7894108,2003.971081,1037.174788,2377.529541,2708.423333,865.3021391,2091.178903,3640.762836,3667.200194,434.8102921,529.1868828
3333.152904,440.7144048,3056.649798,1288.637491,2305.170507,4123.506487,1056.937209,543.8437989,1052.413199,1889.437839,441.3914117,4454.526764,7473.932375,1936.09021,786.8022148,673.382966,2126.137824,1049.386495,2975.123047,4095.6837,978.1686456,2350.845496,4704.772663,3243.368805,485.4509081,474.3022011
4258.160261,469.1164584,3623.224462,1508.667916,2811.459451,4376.080428,1016.253884,624.1050944,1136.755211,2062.69597,462.6182158,4924.338111,7883.523191,2177.798828,992.7453991,774.7853357,2393.665897,1122.855522,4102.364746,5268.278576,1060.136943,2647.260733,6031.791367,4287.631579,551.9035051,477.399491
5086.627761,492.8086489,4773.268551,1753.414192,3448.538323,4643.45857,1133.105461,710.5093448,1249.397694,2216.945182,522.7768402,5536.837483,8702.114481,2237.576172,1250.406913,832.7511375,2702.237701,1245.286584,5323.455078,5893.187076,1240.518312,2876.245773,7369.431889,5456.322425,693.1898425,470.7837614
5890.978002,503.5383322,5866.023414,2099.21943,3782.603496,5188.361792,1332.33941,802.013742,1572.79794,2478.291944,699.3997383,6137.15054,9545.286725,2433.212646,1652.154002,909.0324033,3123.320159,1452.221405,6920.199707,6139.581618,1423.190621,3343.785952,8003.814493,6769.868414,790.5925164,441.4987969
7210.595548,552.3389345,7323.191594,2693.958732,4762.083068,6055.086779,1586.472921,1022.732467,1840.329927,2643.168439,840.1916319,7144.00024,10178.44224,2751.423584,1876.413033,1012.182794,3572.363589,1741.603511,9101.239258,6662.062785,1611.175587,3934.690909,9711.223761,8369.235268,913.3123316,425.0368417
8977.506851,630.1089792,8801.757876,3468.327063,5534.689447,6841.91146,1941.899973,993.5034053,2144.389544,3416.123901,915.9989157,8343.303382,10589.95187,3180.170654,2227.790349,1087.514777,4184.885982,1990.356129,11635.28418,6251.877427,2007.026655,4327.79747,10843.50369,11310.77817,1158.101627,351.8391005
8184.389889,698.520945,8569.902547,3832.227457,5245.951584,6737.860751,2212.218148,1096.636136,2239.095265,3618.892617,1049.121794,7167.877194,8495.653081,3118.141602,1883.887783,985.3493008,4164.970483,1893.281641,8562.824219,6444.18684,2053.766451,4154.187447,9012.999458,11641.79915,1225.845009,762.2979603
10385.96443,776.8595769,11249.29189,4550.473944,6392.758026,8147.243985,2509.772034,1350.63447,3094.443079,3914.701231,1093.639624,8880.145805,9823.164076,3067.851807,2280.111289,1011.59718,5047.204643,2201.776828,10674.99023,8059.562798,2836.974109,4996.372098,10622.70204,13692.91497,1684.011772,937.84034
12848.73915,856.3818868,13200.55623,5614.386022,7392.9436,9137.455101,2645.622535,1449.603301,3613.800888,4152.493981,1099.315465,10209.37194,10766.60994,3302.453125,2504.879101,1161.044321,5826.832307,2431.199961,14311.06445,8737.041269,3248.04021,5396.643586,11300.78522,10877.11236,1953.55715,1082.615773
13082.66433,876.8180104,12327.5131,6300.58218,8096.80151,9971.651656,3059.135428,1434.017987,3668.212083,4386.461819,1289.780791,10601.51046,10842.73309,3164.004639,2728.022788,1236.892763,6475.720443,2671.777522,15420.85938,8173.869138,3351.892476,5748.632721,11713.28498,12937.9276,2190.23244,1290.193957
13080.25473,973.7739043,12258.56571,7020.386074,8263.641929,10633.26655,3088.890834,1438.057005,3602.885517,4477.618321,1376.829205,10727.66902,11317.49106,3377.643555,2976.756832,1259.668368,6697.187747,2847.567943,15974.62207,7441.230854,3643.832447,6041.133948,12578.18786,12433.98079,2367.499331,1408.36781
12334.79825,1108.514957,12071.40446,7636.07434,8167.472842,10737.67888,3196.861381,1559.863779,3476.624854,4255.894302,1489.919721,11045.58012,11490.02169,3430.534424,3200.952799,1303.18537,6614.83082,2935.928598,14095.64648,6965.137897,3885.623616,5822.377783,12165.22014,15975.72938,2558.778758,1407.034291
13789.06042,1236.004392,8783.215424,8016.445595,6228.651622,11529.95517,3370.382447,1590.174331,3322.581679,4064.25301,1496.653573,9699.600463,10098.17318,3139.228271,2679.554223,1421.835278,6180.119268,2974.296917,9313.021484,6204.929901,3990.353117,5708.794091,11049.99511,,2595.234844,1410.329173
12790.26414,1659.962496,8680.736469,8094.390167,5936.261022,11899.81398,3331.612461,1714.279537,3558.818852,4003.404746,1562.076619,9555.669593,9152.737223,3132.952148,2144.780344,1468.822082,6163.860425,3038.152037,8704.894531,5735.066787,4107.829775,5854.463908,10970.04589,,2760.717101,1421.787791
14613.03565,1815.610262,9896.718895,8817.045608,6449.970987,12118.13362,2439.967284,1957.969813,3839.785075,4073.116403,1675.988422,9979.704473,9693.330091,3288.502686,1941.879479,1567.640612,6676.308793,3077.434419,10720.33203,6734.475153,4388.201906,6436.78966,10695.5502,,2992.071532,1192.107012
11795.16275,1963.412492,9121.020995,9905.406383,6782.03792,12383.14995,2531.200079,1974.377731,3902.661676,4146.407311,1845.783414,11073.97897,10130.3207,3492.672607,2125.834491,1620.742591,6912.103988,3194.672701,11287.35449,7067.724165,4360.584735,7124.55881,9568.83619,,3267.225069,2269.177012
9963.674162,2122.078397,8845.324149,10143.86022,6436.509215,12669.34115,3017.258336,2050.1638,4151.227554,4159.653754,1970.08007,11132.10274,10434.57837,3498.582764,2334.023643,1437.165833,6955.880824,3413.849044,11536.25879,6702.526617,4082.694049,7628.576033,9215.440875,,3491.09141,1421.868596
8500.837939,2233.305901,6923.699912,10408.71955,5304.289129,12179.25667,3571.556907,1913.219733,3895.618152,3998.673138,1936.250755,10164.34443,8894.89065,3258.269043,2074.613747,1322.314785,6063.626923,3224.422811,10194.44141,5753.066494,3852.389091,7001.78546,8638.739133,,3586.347176,1372.696674
10650.86046,2457.924039,7696.78483,12617.5051,6182.707099,12604.04884,3886.722498,2238.127142,4334.215983,4152.757954,2069.661129,11134.62295,10359.14986,3767.524902,2065.77441,1506.108293,6635.464148,3460.539382,12532.05078,7073.612754,3996.571995,7060.897707,9743.213131,,3756.488901,1773.920411
13650.60463,2688.305501,8917.674911,12720.21632,6624.165393,13365.3564,4295.407496,2410.888021,4787.999308,4311.000046,2099.301938,11993.18761,11496.52287,3441.991455,2162.633734,1588.879829,7125.829931,3498.509806,15270.70605,6766.481254,3354.383408,6909.956285,10674.50417,,4163.514299,1676.821489
